[Profiler] Pipeline IA tomo: 12.5703 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 8.7396 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4557 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 8.0932 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1526 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.1247 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3218 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.2354 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5768 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5425 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8298 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7995 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5634 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.9936 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7902 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8496 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6697 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.3724 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4743 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3967 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.135 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7389 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.7531 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.435 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.623 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7647 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.6603 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.337 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1658 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1245 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.511 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.065 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9687 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6239 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7119 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6189 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5918 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.2247 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8255 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9836 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5617 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4413 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8124 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.7901 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5343 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5173 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.5929 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.4993 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5112 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9424 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5503 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0375 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.787 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.7069 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.0985 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.2222 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8433 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4676 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7078 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4853 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0074 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1721 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6335 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7364 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.9491 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.4159 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8042 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0751 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8956 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.7663 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4521 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8705 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6992 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.4807 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9293 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.703 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6825 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.8777 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9733 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9084 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.93 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7413 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4379 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4718 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.5402 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5463 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4893 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8533 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7511 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.59 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.6104 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.7495 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8392 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4582 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.8086 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3538 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3045 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4381 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9319 ms | Denoise: ON | VSR (0)
